metric,value
model,kairos23m
eval_data,data\datasets\Imputed\BM\BM_030\Supply_Chain_Customer_D_BM_030_long_linear.csv
clean_data,data\datasets\ori\Supply_Chain_Customer_D.csv
freq,D
term,long
prediction_length,450
windows,3
MSE[mean],2843146054.9214816
MSE[0.5],2843146054.9214816
MAE[0.5],36194.554074074076
MASE[0.5],1.1849200427745938
MAPE[0.5],0.6565996605805243
sMAPE[0.5],0.6162273921866632
MSIS,21.740431103920272
RMSE[mean],53321.159542169386
NRMSE[mean],0.8410683963175118
ND[0.5],0.5709196088737271
mean_weighted_sum_quantile_loss,0.5043329037469002
