metric,value
model,kairos23m
eval_data,data\datasets\Imputed\BM\BM_010\Supply_Chain_Location_D_BM_010_long_backward.csv
clean_data,data\datasets\ori\Supply_Chain_Location_D.csv
freq,D
term,long
prediction_length,450
windows,3
MSE[mean],605337099.3777778
MSE[0.5],605337099.3777778
MAE[0.5],17416.435555555556
MASE[0.5],1.1500405854220506
MAPE[0.5],0.8509925642263577
sMAPE[0.5],0.6576407123983103
MSIS,19.3915960320366
RMSE[mean],24603.599317534372
NRMSE[mean],0.878221182448241
ND[0.5],0.6216766266687199
mean_weighted_sum_quantile_loss,0.5445402049879577
