metric,value
model,kairos23m
eval_data,data\datasets\Imputed\BM\BM_020\OpenElectricity_NEM_5T_BM_020_long_forward.csv
clean_data,data\datasets\ori\OpenElectricity_NEM_5T.csv
freq,5T
term,long
prediction_length,720
windows,20
MSE[mean],214678.04444444444
MSE[0.5],214678.04444444444
MAE[0.5],326.1140625
MASE[0.5],1.0589605352846592
MAPE[0.5],0.05917420281304253
sMAPE[0.5],0.05765414075345951
MSIS,14.828137013628005
RMSE[mean],463.3336211030281
NRMSE[mean],0.07839015281045918
ND[0.5],0.055174349601817746
mean_weighted_sum_quantile_loss,0.04705479894130664
